Year,Month,Day,stationCode,stationName,relativeHumidity,airTemperature_avg,wind_avg_speed,Actual_Rain,Predicted_Rain
2023.0,1.0,1.0,AN001,Allanooka,66.1,21.0,17.93,0.0,2.0
2023.0,1.0,2.0,AN001,Allanooka,52.2,25.2,16.49,0.0,0.0
2023.0,1.0,3.0,AN001,Allanooka,19.1,32.2,24.77,0.0,0.0
2023.0,1.0,4.0,AN001,Allanooka,22.9,32.1,21.67,0.0,0.0
2023.0,1.0,5.0,AN001,Allanooka,17.8,33.3,18.12,2.8,0.0
2023.0,1.0,6.0,AN001,Allanooka,42.5,27.0,19.73,0.0,0.0
2023.0,1.0,7.0,AN001,Allanooka,66.5,19.7,19.46,0.0,0.0
2023.0,1.0,8.0,AN001,Allanooka,66.3,21.5,16.19,0.4,4.0
2023.0,1.0,9.0,AN001,Allanooka,64.1,23.6,14.19,0.0,1.0
2023.0,1.0,10.0,AN001,Allanooka,78.5,21.3,16.26,0.2,0.0
2023.0,1.0,11.0,AN001,Allanooka,66.0,20.6,13.2,0.2,0.0
2023.0,1.0,12.0,AN001,Allanooka,73.9,20.5,12.24,0.0,0.0
2023.0,1.0,13.0,AN001,Allanooka,79.5,20.9,19.03,0.0,0.0
2023.0,1.0,14.0,AN001,Allanooka,56.5,25.1,19.19,0.6,2.0
2023.0,1.0,15.0,AN001,Allanooka,39.9,26.8,19.54,0.0,1.0
2023.0,1.0,16.0,AN001,Allanooka,66.3,20.2,25.07,0.0,0.0
2023.0,1.0,17.0,AN001,Allanooka,61.3,20.6,15.25,0.0,0.0
2023.0,1.0,18.0,AN001,Allanooka,42.3,26.3,17.18,2.6,1.0
2023.0,1.0,19.0,AN001,Allanooka,43.5,29.7,18.83,0.0,0.0
2023.0,1.0,20.0,AN001,Allanooka,71.1,26.0,10.29,35.4,7.0
2023.0,1.0,21.0,AN001,Allanooka,83.3,23.2,10.26,0.0,0.0
2023.0,1.0,22.0,AN001,Allanooka,83.0,22.2,12.92,0.0,0.0
