stationCode,stationName,latitude,longitude,altitude,owner,ownerCode,startDate,endDate,probeHeight,rainGaugeHeight,model,capabilities.airTemperature,capabilities.batteryVoltage,capabilities.deltaT,capabilities.dewPoint,capabilities.panEvaporation,capabilities.relativeHumidity,capabilities.barometricPressure,capabilities.rainfall,capabilities.soilTemperature,capabilities.solarIrradiance,capabilities.wetBulb,capabilities.wind1,capabilities.wind2,capabilities.wind3,capabilities.apparentTemperature,capabilities.etoShort,capabilities.etoTall,capabilities.frostCondition,capabilities.heatCondition,capabilities.windErosionCondition,capabilities.richardsonUnit,capabilities.chillHour,online,status,comments,jobNumber
AN001,Allanooka,-29.063612,114.997161,131,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2012-06-19,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3121
AM001,Amelup,-34.270827,118.268523,200,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2019-10-09,,1.25,1,PDS YDOC CATM1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,WMO number 99449,P0011
SH002,Babakin,-32.12548,118.00406,313,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2016-06-22,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3451
BA,Badgingarra,-30.338049,115.539491,284,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2008-11-19,,1.25,0.5,Unidata NRL from 6 Sep 2023,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3315
BP001,Balingup,-33.7962,116.06398,227,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2014-10-24,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3461
BE001,Beacon,-30.47333,117.88111,394,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2012-06-27,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,N3108
ME004,Belka East,-31.7285278,118.2979722,294,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2016-04-19,,1.25,0.5,Unidata NRL with sonic at 3m,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,E-demonstration site,J3759
BC001,Bencubbin,-30.818056,117.864758,350,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2016-06-17,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3460
BB001,Bindi Bindi,-30.59319,116.3527,284,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2012-06-22,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3099
ER002,Bindoo,-28.512249,115.216534,188,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2019-10-02,,1.25,1,PDS YDOC CATM1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,"24 June 2021: We are aware of the current outage at this station, repairs are planned for 2-3 July.
WMO number 99441.",P0003
BX001,Bindoon,-31.398,116.101,138,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2012-11-29,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,N3178
BI,Binnu,-28.051,114.69575,277,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2008-06-24,,1.25,0.5,Unidata NRL and SONIC @10m,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,"9 March 2022: Rainfall recorded since 20th February 2022 is suspected to be false. The rain gauge had become disconnected recently and recorded large amounts of false rainfall from 6th March onwards, which has been removed but may not be reflected in the rainfall totals until 10th March. Further rainfall back to 20th February may also be removed if confirmed to be false.",J3326
BI002,Binnu West,-28.014442,114.406062,248,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2019-10-01,,1.25,1,PDS YDOC CATM1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,WMO number 99420,P0001
BR,Bonnie Rock,-30.599684,118.531384,366,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2008-11-13,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3313
DB002,Boyanup,-33.486286,115.72515,37,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2023-02-13,,1.25,0.5,Unidata NRL  with sonic @3m,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3252
BO001,Boyatup,-33.7599,123.124725,87,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2015-12-01,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3453
BY001,Bremer Bay,-34.382888,119.32666,42,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2016-06-22,,1.25,0.5,MEA Mk5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3448
BN001,Brookton,-32.3868,117.01348,269,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2012-07-02,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,Converted to Unidata NRL 26 Aug 2023,Y3098
BR010,Broome (Skuthorpe),-17.86165,122.4161,37,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2020-03-26,,1.25,1,PDS YDOC CATM1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,P0018
BJ,Brunswick Junction,-33.270855,115.79648,17,Harvey Water,HW,2014-07-29,,1.25,0.5,Datataker 80,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,Owned by Harvey Water. Installed 30/7/2014.,
BT001,Buntine West,-29.93843,116.34875,345,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2016-06-22,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3436
BK001,Burakin,-30.52964,117.18067,370,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2016-06-22,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3464
SB001,Burracoppin South,-31.587553,118.698667,419,WA Department of Primary Industries and Regional Development (DPIRD),DPIRD,2012-06-05,,1.25,0.5,Unidata NRL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,open,,J3092
