stationCode,stationName,airTemperature.max,airTemperature.maxTime,airTemperature.min,airTemperature.minTime,evapotranspiration.shortCrop,evapotranspiration.tallCrop,panEvaporation,period.day,period.from,period.hour,period.minute,period.month,period.to,period.year,rainfall,relativeHumidity.max,relativeHumidity.maxTime,relativeHumidity.min,relativeHumidity.minTime,soilTemperature.max,soilTemperature.maxTime,soilTemperature.min,soilTemperature.minTime,solarExposure,avg.speed,height,max.direction.compassPoint,max.direction.degrees,max.speed,max.time
BG001,Kings Park,25.2,2021-11-29T06:14:00Z,15.3,2021-11-29T21:43:00Z,6.14,7.08,7.8,30,2021-11-29T16:00:00Z,,,11,2021-11-30T16:00:00Z,2021,0,79.8,2021-11-29T14:21:00Z,44.6,2021-11-29T06:05:00Z,34.1,2021-11-29T07:34:00Z,22.6,2021-11-29T22:35:00Z,32014.6,8.75,3,SSW,201,31.82,2021-11-29T05:58:00Z
BG001,Kings Park,22.7,2021-11-30T05:17:00Z,13.3,2021-11-30T21:20:00Z,6.47,7.5,8.8,1,2021-11-30T16:00:00Z,,,12,2021-12-01T16:00:00Z,2021,0,70.2,2021-11-30T20:29:00Z,37.5,2021-11-30T03:44:00Z,32.9,2021-11-30T07:01:00Z,20.4,2021-11-30T22:24:00Z,33954.8,9.53,3,SSW,199,33.48,2021-11-30T07:25:00Z
BG001,Kings Park,23.8,2021-12-01T04:50:00Z,14,2021-12-01T20:35:00Z,6.61,7.78,8.8,2,2021-12-01T16:00:00Z,,,12,2021-12-02T16:00:00Z,2021,0,73.8,2021-12-01T18:17:00Z,37.6,2021-12-01T03:52:00Z,32.1,2021-12-01T06:48:00Z,20.2,2021-12-01T22:22:00Z,33978.4,7.38,3,SSW,195,34.34,2021-12-01T06:40:00Z
BG001,Kings Park,25.9,2021-12-02T06:50:00Z,15.4,2021-12-02T20:50:00Z,6.82,7.96,9.4,3,2021-12-02T16:00:00Z,,,12,2021-12-03T16:00:00Z,2021,0,67,2021-12-02T11:04:00Z,36.3,2021-12-02T03:51:00Z,33.1,2021-12-02T07:45:00Z,21.1,2021-12-02T22:47:00Z,33553.5,6.91,3,SW,227,100.51,2021-12-02T10:14:00Z
BG001,Kings Park,31.5,2021-12-03T08:49:00Z,17,2021-12-03T20:33:00Z,7.29,8.64,9.5,4,2021-12-03T16:00:00Z,,,12,2021-12-04T16:00:00Z,2021,0,63.6,2021-12-03T21:30:00Z,26.8,2021-12-03T08:30:00Z,34.6,2021-12-03T08:02:00Z,23,2021-12-03T22:49:00Z,33108.2,5.74,3,SSE,149,26.78,2021-12-03T18:26:00Z
BG001,Kings Park,32.2,2021-12-04T05:34:00Z,16.8,2021-12-04T21:36:00Z,6.99,7.9,9,5,2021-12-04T16:00:00Z,,,12,2021-12-05T16:00:00Z,2021,0,71.2,2021-12-04T12:57:00Z,29.3,2021-12-04T04:40:00Z,36.4,2021-12-04T07:11:00Z,23.6,2021-12-04T22:40:00Z,33076.6,5.73,3,SSW,192,27.61,2021-12-04T08:04:00Z
BG001,Kings Park,30.8,2021-12-05T03:26:00Z,16.5,2021-12-05T21:23:00Z,7.49,8.84,9.9,6,2021-12-05T16:00:00Z,,,12,2021-12-06T16:00:00Z,2021,0,66.6,2021-12-05T12:59:00Z,32.7,2021-12-05T08:21:00Z,36.1,2021-12-05T06:45:00Z,23.5,2021-12-05T22:54:00Z,33144.9,7.78,3,SW,215,34.34,2021-12-05T06:16:00Z
BG001,Kings Park,33.1,2021-12-06T07:56:00Z,16.2,2021-12-06T19:33:00Z,7.72,9.18,10.3,7,2021-12-06T16:00:00Z,,,12,2021-12-07T16:00:00Z,2021,0,64.6,2021-12-06T18:34:00Z,20.8,2021-12-06T07:58:00Z,36.4,2021-12-06T07:59:00Z,23.6,2021-12-06T22:58:00Z,33194.7,7.64,3,ESE,106,33.48,2021-12-06T14:55:00Z
BG001,Kings Park,34.9,2021-12-07T08:47:00Z,22.5,2021-12-07T01:11:00Z,7.88,9.61,10.3,8,2021-12-07T16:00:00Z,,,12,2021-12-08T16:00:00Z,2021,0,46,2021-12-07T01:05:00Z,23.1,2021-12-07T08:48:00Z,36.7,2021-12-07T08:46:00Z,25.8,2021-12-07T01:01:00Z,32268.7,5.22,3,ESE,121,30.13,2021-12-07T03:16:00Z
BG001,Kings Park,40.4,2021-12-08T08:00:00Z,26.8,2021-12-08T21:05:00Z,7.84,9.55,10.5,9,2021-12-08T16:00:00Z,,,12,2021-12-09T16:00:00Z,2021,0,43,2021-12-08T13:11:00Z,15.9,2021-12-08T07:20:00Z,39.7,2021-12-08T08:21:00Z,28.4,2021-12-08T22:45:00Z,31268.5,4.1,3,ESE,114,29.3,2021-12-08T04:50:00Z
