Station Code,Station Name,Year,To 9 AM,Since 9 AM,Last 24 Hrs,Last 7 Days,Last 14 Days,Month to Date,Year to Date,Period,Cluster
AN001,Allanooka,2023,0,0,0,0.0,0.0,0.0,307.0,326.2,0
AM001,Amelup,2023,0,0.2,0.2,0.2,0.2,0.2,304.2,343.6,0
SH002,Babakin,2023,0,0,0,0.6,0.6,0.6,258.6,272.2,0
BA,Badgingarra,2023,0,0,0,0.8,0.8,0.8,330.0,345.2,0
BP001,Balingup,2023,0.2,0,0.2,0.2,0.2,1.2,577.8,601.2,0
BE001,Beacon,2023,0,0,0,0.0,0.0,0.0,175.8,178.8,0
ME004,Belka East,2023,0,0,0,14.2,14.2,14.2,221.0,231,0
BC001,Bencubbin,2023,0,0,0,0.2,0.2,0.2,194.0,202.4,0
BB001,Bindi Bindi,2023,0,0,0,1.4,1.4,1.4,245.2,251.2,0
ER002,Bindoo,2023,0,0,0,0.0,0.0,0.0,138.8,143.2,0
BX001,Bindoon,2023,0,0,0,0.0,0.0,0.0,452.4,484.4,0
BI,Binnu,2023,0,0,0,0.0,0.0,0.2,169.8,180,0
BI002,Binnu West,2023,0,0,0,0.0,0.0,0.0,108.8,117.4,0
BR,Bonnie Rock,2023,0,0,0,0.2,0.2,0.2,178.6,200.8,0
DB002,Boyanup,2023,0,0,0,0.0,0.2,1.2,553.2,552,0
BO001,Boyatup,2023,0,0,0,5.8,12.6,12.6,475.6,591.2,0
BY001,Bremer Bay,2023,0,0,0,0.6,0.6,0.6,444.2,531,0
BN001,Brookton,2023,0,0,0,0.0,0.0,0.0,388.0,399.8,0
BR010,Broome (Skuthorpe),2023,0,0,0,0.0,0.0,0.0,1507.0,1756.8,2
BJ,Brunswick Junction,2023,0,0,0,0.0,0.0,2.0,681.2,691.6,0
BT001,Buntine West,2023,0,0,0,1.0,1.0,1.0,186.0,187.8,0
BK001,Burakin,2023,0,0,0,0.0,0.0,0.0,195.0,196.6,0
SB001,Burracoppin South,2023,0,0,0,4.2,4.2,4.2,240.4,261.8,0
CE001,Canna East,2023,0,0,0,0.0,0.0,0.0,168.2,170.8,0
CL001,Capel,2023,0,0,0,0.0,0.0,0.0,569.4,588.6,0
CE002,Carnamah East,2023,0,0,0,0.6,0.6,0.6,185.6,194.4,0
CA,Carnarvon 1,2023,0,0,0,0.0,0.0,0.0,102.0,102,0
CA001,Cascade,2023,0,0,0,1.2,2.4,2.4,273.8,321,0
CS003,Cascade NE,2023,0,0,0,3.6,3.8,3.8,201.0,248,0
CS002,Cascade NW,2023,0,0,0,2.4,4.8,4.8,218.4,272.8,0
CH,Chapman,2023,0,0,0,0.0,0.0,0.0,241.2,250.6,0
CN001,Condingup,2023,0,0,0,4.4,7.4,7.4,503.8,592.8,0
CP001,Coomalbidgup,2023,0,0,0,1.0,6.8,6.8,454.6,539.4,0
CW001,Coorow,2023,0,0,0,0.0,0.0,0.0,199.0,205.4,0
CD001,Cordering,2023,0.2,0,0.2,0.2,0.2,1.0,419.2,453.4,0
CO001,Corrigin,2023,0,0,0,1.0,1.0,1.0,308.8,313,0
CO002,Corrigin East,2023,0,0,0,0.8,0.8,0.8,324.2,339,0
